Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
ATLANTASANAD,07/04/2026,ATLANTASANAD,ATL,137.9,135.0,137.9,134.1,197,26739.3,13,8138285325.0
ATLANTASANAD,06/04/2026,ATLANTASANAD,ATL,137.9,138.0,138.0,133.9,75423,10407772.3,34,8319136110.0
ATLANTASANAD,03/04/2026,ATLANTASANAD,ATL,134.5,138.0,138.0,132.7,1553,213765.5,30,8319136110.0
ATLANTASANAD,02/04/2026,ATLANTASANAD,ATL,134.25,136.0,136.0,131.3,1919,258848.45,37,8198568920.0
ATLANTASANAD,01/04/2026,ATLANTASANAD,ATL,134.0,134.5,134.5,131.2,1231,164873.6,25,8108143527.5
ATLANTASANAD,31/03/2026,ATLANTASANAD,ATL,134.5,132.0,134.5,130.1,1250,163319.55,27,7957434540.0
ATLANTASANAD,30/03/2026,ATLANTASANAD,ATL,132.5,134.75,134.75,131.0,1454,194509.25,37,8123214426.25
ATLANTASANAD,27/03/2026,ATLANTASANAD,ATL,133.85,132.5,133.85,131.1,20117,2665485.9,20,7987576337.5
ATLANTASANAD,26/03/2026,ATLANTASANAD,ATL,131.1,132.0,134.9,131.1,10527,1389703.45,23,7957434540.0
ATLANTASANAD,25/03/2026,ATLANTASANAD,ATL,132.9,136.0,136.0,129.0,9251,1215541.9,108,8198568920.0
ATLANTASANAD,24/03/2026,ATLANTASANAD,ATL,131.6,129.2,131.6,129.2,1500,195271.4,39,7788640474.0
AUTO HALL,09/04/2026,AUTO HALL,ATH,82.98,79.9,82.98,79.6,13373,1070457.35,30,4018532787.2
AUTO HALL,08/04/2026,AUTO HALL,ATH,81.0,80.0,83.5,80.0,8724,701391.65,56,4023562240.0
AUTO HALL,07/04/2026,AUTO HALL,ATH,84.5,79.0,84.5,79.0,745,62382.0,19,3973267712.0
AUTO HALL,06/04/2026,AUTO HALL,ATH,79.0,79.5,80.0,78.1,68129,5439935.8,26,3998414976.0
AUTO HALL,03/04/2026,AUTO HALL,ATH,79.5,79.0,79.5,79.0,627,49539.58,9,3973267712.0
AUTO HALL,02/04/2026,AUTO HALL,ATH,79.0,79.0,79.0,77.86,2335,184302.51,26,3973267712.0
AUTO HALL,01/04/2026,AUTO HALL,ATH,78.7,78.0,78.7,77.92,2123,165636.95,37,3922973184.0
AUTO HALL,31/03/2026,AUTO HALL,ATH,79.0,78.05,79.0,78.0,717,56113.85,18,3925487910.4
